iter	Passed	Remaining
436	1340	1726
437	1342	1722
438	1344	1718
439	1347	1714
440	1349	1710
441	1351	1706
442	1354	1703
443	1357	1699
444	1359	1695
445	1361	1691
446	1363	1687
447	1366	1683
448	1369	1681
449	1372	1677
450	1375	1673
451	1377	1669
452	1379	1666
453	1382	1662
454	1384	1658
455	1386	1654
456	1389	1650
457	1391	1646
458	1393	1642
459	1396	1638
460	1398	1635
461	1401	1631
462	1403	1627
463	1405	1624
464	1408	1620
465	1410	1616
466	1413	1612
467	1415	1608
468	1417	1605
469	1420	1601
470	1422	1597
471	1424	1593
472	1427	1589
473	1429	1586
474	1432	1583
475	1434	1579
476	1437	1575
477	1439	1571
478	1441	1568
479	1444	1564
480	1446	1560
481	1448	1556
482	1451	1553
483	1453	1549
484	1456	1546
485	1459	1544
486	1463	1541
487	1466	1538
488	1469	1535
489	1472	1532
490	1475	1529
491	1477	1525
492	1480	1522
493	1483	1519
494	1486	1516
495	1488	1512
496	1491	1509
497	1494	1506
498	1497	1503
499	1501	1501
500	1505	1499
501	1508	1496
502	1510	1492
503	1514	1490
504	1516	1486
505	1519	1483
506	1522	1480
507	1525	1477
508	1527	1473
509	1530	1470
510	1532	1466
511	1535	1463
512	1538	1460
513	1542	1458
514	1545	1455
515	1548	1452
516	1551	1449
517	1554	1446
518	1556	1442
519	1559	1439
520	1563	1437
521	1565	1433
522	1568	1430
523	1571	1427
524	1574	1424
525	1577	1421
526	1580	1418
527	1583	1415
528	1586	1412
529	1589	1409
530	1592	1406
531	1594	1403
532	1597	1399
533	1600	1396
534	1603	1393
535	1606	1390
536	1608	1386
537	1611	1383
538	1614	1380
539	1616	1377
540	1619	1374
541	1621	1370
542	1623	1366
543	1626	1363
544	1629	1360
545	1632	1357
546	1635	1354
547	1638	1351
548	1641	1348
549	1643	1344
550	1646	1341
551	1648	1338
552	1651	1335
553	1654	1331
554	1657	1328
555	1660	1325
556	1662	1322
557	1665	1319
558	1667	1315
559	1670	1312
560	1673	1309
561	1676	1306
562	1678	1302
563	1680	1299
564	1683	1296
565	1686	1293
566	1689	1290
567	1691	1286
568	1694	1283
569	1697	1280
570	1699	1277
571	1702	1273
572	1705	1270
573	1707	1267
574	1710	1264
575	1713	1261
576	1715	1257
577	1718	1254
578	1721	1251
579	1723	1248
580	1726	1244
581	1728	1241
582	1731	1238
583	1733	1235
584	1736	1231
585	1738	1228
586	1741	1225
587	1744	1222
588	1746	1218
589	1749	1215
590	1752	1212
591	1754	1209
592	1757	1206
593	1760	1203
594	1762	1199
595	1765	1196
596	1767	1193
597	1770	1190
598	1773	1186
599	1775	1183
600	1778	1180
601	1780	1177
602	1783	1174
603	1785	1170
604	1788	1167
605	1790	1164
606	1792	1160
607	1795	1157
608	1797	1154
609	1799	1150
610	1802	1147
611	1804	1144
612	1806	1140
613	1809	1137
614	1811	1133
615	1813	1130
616	1816	1127
617	1818	1124
618	1821	1121
619	1823	1117
620	1826	1114
621	1828	1111
622	1831	1108
623	1833	1104
624	1835	1101
625	1838	1098
626	1839	1094
627	1842	1091
628	1844	1087
629	1847	1084
630	1849	1081
631	1851	1078
632	1854	1074
633	1857	1072
634	1859	1068
635	1861	1065
636	1864	1062
637	1866	1059
638	1869	1055
639	1871	1052
640	1875	1050
641	1877	1047
642	1880	1043
643	1882	1040
644	1885	1037
645	1887	1034
646	1889	1031
647	1892	1027
648	1894	1024
649	1896	1021
650	1899	1018
651	1901	1014
652	1903	1011
653	1906	1008
654	1908	1005
655	1910	1002
656	1913	999
657	1916	996
658	1918	992
659	1921	989
660	1923	986
661	1925	983
662	1928	980
663	1930	977
664	1933	973
665	1935	970
666	1937	967
667	1940	964
668	1942	961
669	1945	958
670	1947	955
671	1950	951
672	1952	948
673	1954	945
674	1957	942
675	1959	939
676	1962	936
677	1964	933
678	1967	930
679	1969	926
680	1971	923
681	1974	920
682	1976	917
683	1978	914
684	1981	911
685	1983	907
686	1988	905
687	1990	902
688	1993	899
689	1995	896
690	1997	893
691	2001	890
692	2004	887
693	2007	884
694	2009	881
695	2011	878
696	2014	875
697	2016	872
698	2018	869
699	2021	866
700	2023	863
701	2026	860
702	2028	857
703	2031	854
704	2033	850
705	2035	847
706	2037	844
707	2039	841
708	2042	838
709	2044	835
710	2047	832
711	2049	829
712	2053	826
713	2055	823
714	2058	820
715	2062	817
716	2065	815
717	2068	812
718	2071	809
719	2075	807
720	2078	804
721	2081	801
722	2084	798
723	2088	796
724	2091	793
725	2094	790
726	2098	788
727	2101	785
728	2104	782
729	2107	779
730	2110	776
731	2113	773
732	2116	770
733	2119	767
734	2121	764
735	2124	762
736	2128	759
737	2131	756
738	2134	753
739	2137	750
740	2140	748
741	2143	745
742	2146	742
743	2149	739
744	2152	736
745	2155	733
746	2158	731
747	2161	728
748	2164	725
749	2167	722
750	2170	719
751	2173	716
752	2175	713
753	2178	710
754	2181	707
755	2183	704
756	2186	701
757	2189	698
758	2191	695
759	2194	692
760	2197	690
761	2199	687
762	2202	684
763	2205	681
764	2208	678
765	2211	675
766	2213	672
767	2216	669
768	2218	666
769	2221	663
770	2224	660
771	2227	657
772	2231	655
773	2234	652
774	2236	649
775	2239	646
776	2243	643
777	2247	641
778	2250	638
779	2253	635
780	2256	632
781	2259	629
782	2262	626
783	2265	624
784	2268	621
785	2271	618
786	2274	615
787	2277	612
788	2279	609
789	2282	606
790	2285	603
791	2288	601
792	2291	598
793	2294	595
794	2297	592
795	2300	589
796	2303	586
797	2306	583
798	2309	581
799	2313	578
800	2316	575
801	2319	572
802	2322	569
803	2326	567
804	2329	564
805	2332	561
806	2334	558
807	2337	555
808	2340	552
809	2344	549
810	2348	547
811	2351	544
812	2354	541
813	2357	538
814	2360	535
815	2363	532
816	2366	529
817	2368	526
818	2370	523
819	2373	521
820	2377	518
821	2380	515
822	2383	512
823	2386	509
824	2389	506
825	2392	503
826	2395	501
827	2398	498
828	2401	495
829	2404	492
830	2408	489
831	2411	487
832	2415	484
833	2418	481
834	2421	478
835	2424	475
836	2427	472
837	2431	469
838	2433	467
839	2436	464
840	2440	461
841	2443	458
842	2446	455
843	2449	452
844	2452	449
845	2455	446
846	2458	444
847	2460	441
848	2463	438
849	2466	435
850	2468	432
851	2471	429
852	2473	426
853	2476	423
854	2478	420
855	2481	417
856	2483	414
857	2486	411
858	2489	408
859	2491	405
860	2494	402
861	2497	399
862	2501	397
863	2504	394
864	2508	391
865	2511	388
866	2514	385
867	2517	382
868	2520	379
869	2523	377
870	2526	374
871	2529	371
872	2531	368
873	2534	365
874	2537	362
875	2541	359
876	2544	356
877	2547	353
878	2550	351
879	2553	348
880	2556	345
881	2558	342
882	2561	339
883	2563	336
884	2566	333
885	2569	330
886	2572	327
887	2574	324
888	2576	321
889	2579	318
890	2582	315
891	2584	312
892	2587	309
893	2589	307
894	2592	304
895	2594	301
896	2597	298
897	2600	295
898	2603	292
899	2606	289
900	2609	286
901	2612	283
902	2614	280
903	2618	278
904	2621	275
905	2624	272
906	2628	269
907	2631	266
908	2634	263
909	2637	260
910	2640	257
911	2643	255
912	2646	252
913	2649	249
914	2652	246
915	2655	243
916	2658	240
917	2661	237
918	2663	234
919	2666	231
920	2668	228
921	2671	225
922	2673	223
923	2676	220
924	2678	217
925	2681	214
926	2683	211
927	2686	208
928	2688	205
929	2691	202
930	2694	199
931	2696	196
932	2699	193
933	2702	190
934	2704	188
935	2707	185
936	2709	182
937	2712	179
938	2714	176
939	2718	173
940	2720	170
941	2723	167
942	2726	164
943	2729	161
944	2732	159
945	2735	156
946	2738	153
947	2740	150
948	2743	147
949	2746	144
950	2749	141
951	2752	138
952	2754	135
953	2757	132
954	2760	130
955	2762	127
956	2764	124
957	2767	121
958	2769	118
959	2771	115
960	2774	112
961	2776	109
962	2779	106
963	2781	103
964	2783	100
965	2786	98
966	2788	95
967	2791	92
968	2793	89
969	2795	86
970	2798	83
971	2800	80
972	2803	77
973	2805	74
974	2808	72
975	2810	69
976	2813	66
977	2816	63
978	2818	60
979	2821	57
980	2823	54
981	2826	51
982	2829	48
983	2832	46
984	2835	43
985	2838	40
986	2840	37
987	2843	34
988	2846	31
989	2849	28
990	2851	25
991	2855	23
992	2857	20
993	2860	17
994	2863	14
995	2865	11
996	2867	8
997	2870	5
998	2872	2
999	2875	0
